Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,ID
Thailand,South-East Asia,27402,39.26,901,1.29,248,88,0.13,3,0,1,Clusters of cases,211
The United Kingdom,Europe,4263531,6280.43,40295,59.36,5089,125580,184.99,1014,1.49,64,Community transmission,212
Timor-Leste,South-East Asia,208,15.78,66,5.01,5,0,0,0,0,0,Clusters of cases,213
Togo,Africa,8049,97.23,451,5.45,0,93,1.12,1,0.01,0,Community transmission,214
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,215
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,216
Trinidad and Tobago,Americas,7788,556.49,52,3.72,5,140,10,0,0,0,Community transmission,217
Tunisia,Eastern Mediterranean,242673,2053.31,4060,34.35,549,8429,71.32,161,1.36,25,Community transmission,218
Turkey,Europe,2894893,3432.45,101261,120.06,15503,29552,35.04,458,0.54,63,Community transmission,219
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases,220
Turks and Caicos Islands,Americas,2233,5767.34,56,144.64,0,15,38.74,0,0,0,Clusters of cases,221
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,222
Uganda,Africa,40591,88.74,106,0.23,10,334,0.73,0,0,0,Community transmission,223
Ukraine,Europe,1477190,3377.69,67129,153.49,9642,28697,65.62,1493,3.41,264,Community transmission,224
United Arab Emirates,Eastern Mediterranean,430313,4350.81,16981,171.69,2018,1406,14.22,71,0.72,4,Community transmission,225
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending,226
United States of America,Americas,29205543,8823.36,378348,114.3,49651,530815,160.37,8331,2.52,701,Community transmission,227
United States Virgin Islands,Americas,2767,2649.75,23,22.03,0,25,23.94,0,0,0,Community transmission,228
Uruguay,Americas,72862,2097.51,8162,234.96,1171,717,20.64,59,1.7,5,Community transmission,229
Uzbekistan,Europe,80743,241.25,496,1.48,65,622,1.86,0,0,0,Clusters of cases,230
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases,231
Venezuela (Bolivarian Republic of),Americas,146488,515.15,4150,14.59,535,1444,5.08,60,0.21,7,Community transmission,232
Viet Nam,Western Pacific,2560,2.63,34,0.03,1,35,0.04,0,0,0,Clusters of cases,233
Wallis and Futuna,Western Pacific,242,2151.88,152,1351.59,47,0,0,0,0,0,Sporadic cases,234
Yemen,Eastern Mediterranean,2973,9.97,383,1.28,61,708,2.37,53,0.18,9,Community transmission,235
Zambia,Africa,84950,462.09,2295,12.48,153,1164,6.33,32,0.17,6,Community transmission,236
Zimbabwe,Africa,36504,245.6,215,1.45,20,1504,10.12,17,0.11,1,Community transmission,237
